question,premise,choice1,choice2,kind,a1,a2,correct,gap,peak
"Consider the following example: ‘‘‘I clumsily bumped into the stranger.’’’ Choice 1: I ran away. Choice 2: I apologized to him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I clumsily bumped into the stranger.,I ran away.,I apologized to him.,effect,2.613036632537842,-2.9274003505706787,2,5.5404369831085205,2.9274003505706787
"Consider the following example: ‘‘‘I coughed.’’’ Choice 1: I inhaled smoke. Choice 2: I lowered my voice. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I coughed.,I inhaled smoke.,I lowered my voice.,cause,1.675232172012329,-1.8599189519882202,1,3.5351511240005493,1.8599189519882202
"Consider the following example: ‘‘‘I drank a cup of coffee.’’’ Choice 1: My yawning ceased. Choice 2: I nodded off to sleep. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I drank a cup of coffee.,My yawning ceased.,I nodded off to sleep.,effect,-0.8966690897941589,1.7546117305755615,1,2.6512808203697205,1.7546117305755615
"Consider the following example: ‘‘‘I drank from the water fountain.’’’ Choice 1: I was thirsty. Choice 2: I felt nauseous. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I drank from the water fountain.,I was thirsty.,I felt nauseous.,cause,-1.3060795068740845,1.886645793914795,1,3.1927253007888794,1.886645793914795
"Consider the following example: ‘‘‘I got distracted from my conversation with the woman.’’’ Choice 1: Everyone in the room was talking. Choice 2: The woman was telling a funny story. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I got distracted from my conversation with the woman.,Everyone in the room was talking.,The woman was telling a funny story.,cause,1.2014625072479248,-1.3981680870056152,1,2.59963059425354,1.3981680870056152
"Consider the following example: ‘‘‘I ironed my shirt.’’’ Choice 1: It was clean. Choice 2: It was wrinkled. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I ironed my shirt.,It was clean.,It was wrinkled.,cause,-1.7136974334716797,2.4047815799713135,2,4.118479013442993,2.4047815799713135
"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I learned how to play the board game.,My friend explained the rules to me.,My friend got the rules wrong.,cause,-2.6079397201538086,3.1361947059631348,1,5.744134426116943,3.1361947059631348
"Consider the following example: ‘‘‘I made a resolution to eat a healthy diet.’’’ Choice 1: I attended a yoga class. Choice 2: I bought fruits and vegetables. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I made a resolution to eat a healthy diet.,I attended a yoga class.,I bought fruits and vegetables.,effect,0.20225965976715088,-1.0528981685638428,2,1.2551578283309937,1.0528981685638428
"Consider the following example: ‘‘‘I misplaced my wallet.’’’ Choice 1: I retrieved my phone. Choice 2: I retraced my steps. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I misplaced my wallet.,I retrieved my phone.,I retraced my steps.,effect,-0.5925684571266174,0.7386175394058228,2,1.3311859965324402,0.7386175394058228
"Consider the following example: ‘‘‘I moved to a new city.’’’ Choice 1: I found a better-paying job. Choice 2: My son was born. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I moved to a new city.,I found a better-paying job.,My son was born.,cause,0.14920547604560852,0.2414441704750061,1,0.09223869442939758,0.2414441704750061
"Consider the following example: ‘‘‘I poured water on my sleeping friend.’’’ Choice 1: My friend awoke. Choice 2: My friend snored. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I poured water on my sleeping friend.,My friend awoke.,My friend snored.,effect,0.05850838124752045,0.24633093178272247,1,0.18782255053520203,0.24633093178272247
"Consider the following example: ‘‘‘I pushed the pendulum.’’’ Choice 1: It slowed to a stop. Choice 2: It swung back and forth. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I pushed the pendulum.,It slowed to a stop.,It swung back and forth.,effect,0.7048046588897705,-1.0177315473556519,2,1.7225362062454224,1.0177315473556519
"Consider the following example: ‘‘‘I put coins in the washing machine at the laundromat.’’’ Choice 1: The machine powered on. Choice 2: I ran out of laundry detergent. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I put coins in the washing machine at the laundromat.,The machine powered on.,I ran out of laundry detergent.,effect,-1.0678139925003052,1.6194263696670532,1,2.6872403621673584,1.6194263696670532
"Consider the following example: ‘‘‘I put my hands under the running faucet.’’’ Choice 1: The soap rinsed off my hands. Choice 2: The water splashed in my face. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I put my hands under the running faucet.,The soap rinsed off my hands.,The water splashed in my face.,effect,-1.687309980392456,2.3419899940490723,1,4.029299974441528,2.3419899940490723
"Consider the following example: ‘‘‘I put my plate in the sink.’’’ Choice 1: I finished eating. Choice 2: I skipped dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I put my plate in the sink.,I finished eating.,I skipped dinner.,cause,-1.2907562255859375,1.9866254329681396,1,3.277381658554077,1.9866254329681396
"Consider the following example: ‘‘‘I put rubber gloves on.’’’ Choice 1: I was preparing to wash my hands. Choice 2: I was preparing to clean the bathroom. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I put rubber gloves on.,I was preparing to wash my hands.,I was preparing to clean the bathroom.,cause,-1.5740770101547241,1.7954410314559937,2,3.3695180416107178,1.7954410314559937
"Consider the following example: ‘‘‘I ran the ice cube under warm water.’’’ Choice 1: The ice cube stuck to my fingers. Choice 2: The ice cube vanished. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I ran the ice cube under warm water.,The ice cube stuck to my fingers.,The ice cube vanished.,effect,1.1445369720458984,-1.5589183568954468,2,2.703455328941345,1.5589183568954468
"Consider the following example: ‘‘‘I received a package in the mail.’’’ Choice 1: The package triggered my curiosity. Choice 2: I took the package to the post office. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I received a package in the mail.,The package triggered my curiosity.,I took the package to the post office.,effect,-0.8117609024047852,0.9129737615585327,1,1.7247346639633179,0.9129737615585327
"Consider the following example: ‘‘‘I regained composure from my fit of anger.’’’ Choice 1: My heart pounded. Choice 2: I took deep breaths. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I regained composure from my fit of anger.,My heart pounded.,I took deep breaths.,cause,1.980622410774231,-2.4732627868652344,2,4.453885197639465,2.4732627868652344
"Consider the following example: ‘‘‘I rubbed sandpaper on the wood.’’’ Choice 1: The wood became smooth. Choice 2: The wood became sticky. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I rubbed sandpaper on the wood.,The wood became smooth.,The wood became sticky.,effect,-2.3205301761627197,2.722175121307373,1,5.042705297470093,2.722175121307373
"Consider the following example: ‘‘‘I rubbed the soap between my hands.’’’ Choice 1: The soap foamed. Choice 2: My hands went numb. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I rubbed the soap between my hands.,The soap foamed.,My hands went numb.,effect,-0.9011114835739136,1.3048157691955566,1,2.20592725276947,1.3048157691955566
"Consider the following example: ‘‘‘I spit out my chewing gum.’’’ Choice 1: I blew a bubble with the gum. Choice 2: The gum lost its flavor. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I spit out my chewing gum.,I blew a bubble with the gum.,The gum lost its flavor.,cause,-0.0659121721982956,0.4578644335269928,2,0.5237766057252884,0.4578644335269928
"Consider the following example: ‘‘‘I stood on one foot.’’’ Choice 1: My balance wavered. Choice 2: I kneeled down. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I stood on one foot.,My balance wavered.,I kneeled down.,effect,0.607221245765686,-0.5291458368301392,1,1.1363670825958252,0.607221245765686
"Consider the following example: ‘‘‘I tidied up my house.’’’ Choice 1: I was swamped with work. Choice 2: I was expecting company. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I tidied up my house.,I was swamped with work.,I was expecting company.,cause,1.06785249710083,-1.0959866046905518,2,2.163839101791382,1.0959866046905518
"Consider the following example: ‘‘‘I tipped the bottle.’’’ Choice 1: The liquid in the bottle froze. Choice 2: The liquid in the bottle poured out. Q: Which one is more likely to be the effect, choice 1 or choice 2?",I tipped the bottle.,The liquid in the bottle froze.,The liquid in the bottle poured out.,effect,1.2061541080474854,-1.1727769374847412,2,2.3789310455322266,1.2061541080474854
"Consider the following example: ‘‘‘I went to bed.’’’ Choice 1: It was a clear night. Choice 2: It was late. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I went to bed.,It was a clear night.,It was late.,cause,-1.1495261192321777,1.674597144126892,2,2.82412326335907,1.674597144126892
"Consider the following example: ‘‘‘I wrote a thank-you note to my grandmother.’’’ Choice 1: She became forgetful. Choice 2: She sent me a gift. Q: Which one is more likely to be the cause, choice 1 or choice 2?",I wrote a thank-you note to my grandmother.,She became forgetful.,She sent me a gift.,cause,1.4621233940124512,-1.6790714263916016,2,3.1411948204040527,1.6790714263916016
"Consider the following example: ‘‘‘My computer crashed.’’’ Choice 1: I installed new speakers. Choice 2: I lost all my data. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My computer crashed.,I installed new speakers.,I lost all my data.,effect,-1.8742810487747192,2.2389984130859375,2,4.113279461860657,2.2389984130859375
"Consider the following example: ‘‘‘My ears were ringing.’’’ Choice 1: I went to a museum. Choice 2: I went to a concert. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My ears were ringing.,I went to a museum.,I went to a concert.,cause,-0.9076516032218933,0.668302059173584,2,1.5759536623954773,0.9076516032218933
"Consider the following example: ‘‘‘My feet were blistered.’’’ Choice 1: I went hiking. Choice 2: I went swimming. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My feet were blistered.,I went hiking.,I went swimming.,cause,-0.5360456109046936,0.3945423662662506,1,0.9305879771709442,0.5360456109046936
"Consider the following example: ‘‘‘My friend paid for my ticket.’’’ Choice 1: I sought a refund. Choice 2: I paid her back. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My friend paid for my ticket.,I sought a refund.,I paid her back.,effect,1.6930949687957764,-1.9431519508361816,2,3.636246919631958,1.9431519508361816
"Consider the following example: ‘‘‘My grandmother passed away.’’’ Choice 1: My family held a funeral. Choice 2: My family held a reunion. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My grandmother passed away.,My family held a funeral.,My family held a reunion.,effect,0.3235154151916504,-0.7755695581436157,1,1.0990849733352661,0.7755695581436157
"Consider the following example: ‘‘‘My knees buckled on the stairs.’’’ Choice 1: I caught myself on the railing. Choice 2: The railing came loose from the wall. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My knees buckled on the stairs.,I caught myself on the railing.,The railing came loose from the wall.,effect,-1.7546734809875488,1.9736248254776,1,3.728298306465149,1.9736248254776
"Consider the following example: ‘‘‘My stomach growled.’’’ Choice 1: I forgot to eat breakfast. Choice 2: I was full from breakfast. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My stomach growled.,I forgot to eat breakfast.,I was full from breakfast.,cause,0.6611058712005615,-0.7285977005958557,1,1.3897035717964172,0.7285977005958557
"Consider the following example: ‘‘‘My stomach hurt.’’’ Choice 1: I jogged on the treadmill. Choice 2: I ate birthday cake. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My stomach hurt.,I jogged on the treadmill.,I ate birthday cake.,cause,-0.956916093826294,1.339229702949524,2,2.296145796775818,1.339229702949524
"Consider the following example: ‘‘‘My subscription to the magazine expired.’’’ Choice 1: I discarded the new issue. Choice 2: I stopped receiving new issues. Q: Which one is more likely to be the effect, choice 1 or choice 2?",My subscription to the magazine expired.,I discarded the new issue.,I stopped receiving new issues.,effect,0.28438517451286316,0.19868192076683044,2,0.08570325374603271,0.28438517451286316
"Consider the following example: ‘‘‘My view of the movie screen was blocked.’’’ Choice 1: The couple behind me was whispering. Choice 2: A tall person was sitting in front of me. Q: Which one is more likely to be the cause, choice 1 or choice 2?",My view of the movie screen was blocked.,The couple behind me was whispering.,A tall person was sitting in front of me.,cause,0.4099401831626892,0.11682647466659546,2,0.29311370849609375,0.4099401831626892
"Consider the following example: ‘‘‘The administrator cleared her throat.’’’ Choice 1: The meeting was postponed. Choice 2: The meeting commenced. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The administrator cleared her throat.,The meeting was postponed.,The meeting commenced.,effect,1.015468955039978,-1.4856574535369873,2,2.5011264085769653,1.4856574535369873
"Consider the following example: ‘‘‘The animal species became endangered.’’’ Choice 1: Their habitat was destroyed. Choice 2: Their predators went extinct. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The animal species became endangered.,Their habitat was destroyed.,Their predators went extinct.,cause,-0.17599032819271088,0.46999362111091614,1,0.645983949303627,0.46999362111091614
"Consider the following example: ‘‘‘The archeologist dug up the site.’’’ Choice 1: She excavated ancient artifacts. Choice 2: She read about the site's history. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The archeologist dug up the site.,She excavated ancient artifacts.,She read about the site's history.,effect,0.5367342233657837,-0.6321812272071838,1,1.1689154505729675,0.6321812272071838
"Consider the following example: ‘‘‘The balloon expanded.’’’ Choice 1: I blew into it. Choice 2: I pricked it. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The balloon expanded.,I blew into it.,I pricked it.,cause,-0.6426776647567749,1.1932331323623657,1,1.8359107971191406,1.1932331323623657
"Consider the following example: ‘‘‘The bananas ripened.’’’ Choice 1: We squeezed them. Choice 2: We ate them. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bananas ripened.,We squeezed them.,We ate them.,effect,0.3940271735191345,-0.9614022374153137,2,1.3554294109344482,0.9614022374153137
"Consider the following example: ‘‘‘The bartender refused to serve the patron.’’’ Choice 1: The patron was alone. Choice 2: The patron was drunk. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The bartender refused to serve the patron.,The patron was alone.,The patron was drunk.,cause,-1.2512402534484863,2.14582896232605,2,3.397069215774536,2.14582896232605
"Consider the following example: ‘‘‘The benefactor requested to stay anonymous.’’’ Choice 1: He wanted to maintain his privacy. Choice 2: He supported the cause behind his donation. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The benefactor requested to stay anonymous.,He wanted to maintain his privacy.,He supported the cause behind his donation.,cause,0.3116329312324524,-0.7431880235671997,1,1.054820954799652,0.7431880235671997
"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boat capsized.,The captain raised the sail.,It was caught in a hurricane.,cause,-1.9777188301086426,2.5956263542175293,2,4.573345184326172,2.5956263542175293
"Consider the following example: ‘‘‘The boaters set off a flare.’’’ Choice 1: Their boat drifted to shore. Choice 2: Their boat was rescued. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boaters set off a flare.,Their boat drifted to shore.,Their boat was rescued.,effect,0.521864652633667,-0.6845409870147705,2,1.2064056396484375,0.6845409870147705
"Consider the following example: ‘‘‘The book was deemed inappropriate for children.’’’ Choice 1: Schools banned it from its libraries. Choice 2: Teachers required students to read it. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The book was deemed inappropriate for children.,Schools banned it from its libraries.,Teachers required students to read it.,effect,1.2458858489990234,-1.5445380210876465,1,2.79042387008667,1.5445380210876465
"Consider the following example: ‘‘‘The boy climbed the tree.’’’ Choice 1: A cat got stuck in the tree. Choice 2: A bird built a nest in the tree. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy climbed the tree.,A cat got stuck in the tree.,A bird built a nest in the tree.,cause,2.2179901599884033,-2.726722240447998,1,4.944712400436401,2.726722240447998
"Consider the following example: ‘‘‘The boy felt homesick.’’’ Choice 1: He went away to camp. Choice 2: He bickered with his sister. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy felt homesick.,He went away to camp.,He bickered with his sister.,cause,-0.619189977645874,1.0576006174087524,1,1.6767905950546265,1.0576006174087524
"Consider the following example: ‘‘‘The boy had trouble buttoning his shirt.’’’ Choice 1: He refused to wear the shirt. Choice 2: He asked his mother for help. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boy had trouble buttoning his shirt.,He refused to wear the shirt.,He asked his mother for help.,effect,2.553898811340332,-2.9798743724823,2,5.533773183822632,2.9798743724823
"Consider the following example: ‘‘‘The boy painted a picture for his mother.’’’ Choice 1: His mother hung the picture on the wall. Choice 2: His mother sold the picture to a gallery. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The boy painted a picture for his mother.,His mother hung the picture on the wall.,His mother sold the picture to a gallery.,effect,-1.3342338800430298,1.465658187866211,1,2.7998920679092407,1.465658187866211
"Consider the following example: ‘‘‘The boy tuned the radio.’’’ Choice 1: The station was playing rock music. Choice 2: The station was coming in with static. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy tuned the radio.,The station was playing rock music.,The station was coming in with static.,cause,-0.6937840580940247,1.0000417232513428,2,1.6938257813453674,1.0000417232513428
"Consider the following example: ‘‘‘The boy was afraid to go to bed.’’’ Choice 1: He turned on his nightlight. Choice 2: He watched a horror movie. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy was afraid to go to bed.,He turned on his nightlight.,He watched a horror movie.,cause,-1.3384525775909424,1.8401868343353271,2,3.1786394119262695,1.8401868343353271
"Consider the following example: ‘‘‘The boy's hands were shaking.’’’ Choice 1: He planned to ask the girl out. Choice 2: His palms were cold and sweaty. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy's hands were shaking.,He planned to ask the girl out.,His palms were cold and sweaty.,cause,-0.721976637840271,0.9071336388587952,1,1.6291102766990662,0.9071336388587952
"Consider the following example: ‘‘‘The boy's mouth stung.’’’ Choice 1: He ate a pepper. Choice 2: He blew out the candle. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The boy's mouth stung.,He ate a pepper.,He blew out the candle.,cause,0.10716444253921509,-0.24793487787246704,1,0.35509932041168213,0.24793487787246704
"Consider the following example: ‘‘‘The bride got cold feet before the wedding.’’’ Choice 1: The wedding guests brought gifts. Choice 2: She called the wedding off. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bride got cold feet before the wedding.,The wedding guests brought gifts.,She called the wedding off.,effect,-1.315812587738037,1.526942491531372,2,2.842755079269409,1.526942491531372
"Consider the following example: ‘‘‘The bureau drawers were cluttered.’’’ Choice 1: I threw away unnecessary contents. Choice 2: I locked the drawers shut. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The bureau drawers were cluttered.,I threw away unnecessary contents.,I locked the drawers shut.,effect,-0.6848123073577881,0.6008536219596863,1,1.2856659293174744,0.6848123073577881
"Consider the following example: ‘‘‘The button on my shirt fell off.’’’ Choice 1: I sewed the button back on. Choice 2: I glued the button back on. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The button on my shirt fell off.,I sewed the button back on.,I glued the button back on.,effect,-0.9327860474586487,1.6644831895828247,1,2.5972692370414734,1.6644831895828247
"Consider the following example: ‘‘‘The car stopped at the crosswalk.’’’ Choice 1: The pedestrian crossed the road. Choice 2: The pedestrian waited on the sidewalk. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The car stopped at the crosswalk.,The pedestrian crossed the road.,The pedestrian waited on the sidewalk.,effect,0.1622098982334137,-0.49702829122543335,1,0.659238189458847,0.49702829122543335
"Consider the following example: ‘‘‘The celebrity wore sunglasses.’’’ Choice 1: She wanted to thank her fans. Choice 2: She wanted to avoid recognition. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The celebrity wore sunglasses.,She wanted to thank her fans.,She wanted to avoid recognition.,cause,-1.309645652770996,1.5436838865280151,2,2.8533295392990112,1.5436838865280151
"Consider the following example: ‘‘‘The chair squeaked.’’’ Choice 1: The man carried the chair to his office. Choice 2: The man scooted the chair closer to his desk. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The chair squeaked.,The man carried the chair to his office.,The man scooted the chair closer to his desk.,cause,1.123443603515625,-1.9217692613601685,2,3.0452128648757935,1.9217692613601685
"Consider the following example: ‘‘‘The chandelier shattered on the floor.’’’ Choice 1: The chandelier dropped from the ceiling. Choice 2: The chandelier's lights flickered on and off. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The chandelier shattered on the floor.,The chandelier dropped from the ceiling.,The chandelier's lights flickered on and off.,cause,1.0768033266067505,-1.7049447298049927,1,2.781748056411743,1.7049447298049927
"Consider the following example: ‘‘‘The chef pressed down on the dough.’’’ Choice 1: The dough crumbled. Choice 2: The dough flattened. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The chef pressed down on the dough.,The dough crumbled.,The dough flattened.,effect,2.2413575649261475,-2.5956931114196777,2,4.837050676345825,2.5956931114196777
"Consider the following example: ‘‘‘The child disobeyed her parents.’’’ Choice 1: Her parents hugged her. Choice 2: Her parents punished her. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The child disobeyed her parents.,Her parents hugged her.,Her parents punished her.,effect,-1.0613031387329102,1.4096089601516724,2,2.4709120988845825,1.4096089601516724
"Consider the following example: ‘‘‘The child kicked the stack of blocks.’’’ Choice 1: The stack towered over the boy's head. Choice 2: The blocks scattered all over the rug. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The child kicked the stack of blocks.,The stack towered over the boy's head.,The blocks scattered all over the rug.,effect,-0.5430374145507812,0.8065991997718811,2,1.3496366143226624,0.8065991997718811
"Consider the following example: ‘‘‘The children knocked over a lamp.’’’ Choice 1: They had a pillow fight. Choice 2: They jumped on the bed. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The children knocked over a lamp.,They had a pillow fight.,They jumped on the bed.,cause,-0.4007001519203186,0.649162232875824,1,1.0498623847961426,0.649162232875824
"Consider the following example: ‘‘‘The children ran through the sprinkler.’’’ Choice 1: They ate popsicles. Choice 2: They were hot. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The children ran through the sprinkler.,They ate popsicles.,They were hot.,cause,0.28525057435035706,-0.4447369873523712,2,0.7299875617027283,0.4447369873523712
"Consider the following example: ‘‘‘The city re-elected the mayor.’’’ Choice 1: The city cut its budget. Choice 2: The mayor fulfilled his promises. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The city re-elected the mayor.,The city cut its budget.,The mayor fulfilled his promises.,cause,1.8321081399917603,-2.2579262256622314,2,4.090034365653992,2.2579262256622314
"Consider the following example: ‘‘‘The clock chimed.’’’ Choice 1: It was the top of the hour. Choice 2: The hour seemed to drag on. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The clock chimed.,It was the top of the hour.,The hour seemed to drag on.,cause,-1.1935425996780396,1.3909287452697754,1,2.584471344947815,1.3909287452697754
"Consider the following example: ‘‘‘The competition ended.’’’ Choice 1: The teams got pumped up. Choice 2: The teams shook hands. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The competition ended.,The teams got pumped up.,The teams shook hands.,effect,0.060526251792907715,-1.1691924333572388,2,1.2297186851501465,1.1691924333572388
"Consider the following example: ‘‘‘The computer crashed.’’’ Choice 1: I backed up my files. Choice 2: I downloaded a virus. Q: Which one is more likely to be the cause, choice 1 or choice 2?",The computer crashed.,I backed up my files.,I downloaded a virus.,cause,-3.1197524070739746,3.319563627243042,2,6.439316034317017,3.319563627243042
"Consider the following example: ‘‘‘The computer was expensive to fix.’’’ Choice 1: I got it repaired. Choice 2: I bought a new one. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The computer was expensive to fix.,I got it repaired.,I bought a new one.,effect,-1.8531430959701538,2.0287880897521973,2,3.881931185722351,2.0287880897521973
"Consider the following example: ‘‘‘The couple got engaged.’’’ Choice 1: They planned a wedding. Choice 2: They took some time apart. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The couple got engaged.,They planned a wedding.,They took some time apart.,effect,-0.7953505516052246,0.9750200510025024,1,1.770370602607727,0.9750200510025024
"Consider the following example: ‘‘‘The cowgirl threw her lasso towards the horse.’’’ Choice 1: The lasso grabbed onto the horse. Choice 2: The horse trotted into the barn. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The cowgirl threw her lasso towards the horse.,The lasso grabbed onto the horse.,The horse trotted into the barn.,effect,0.18968281149864197,-0.6300474405288696,1,0.8197302520275116,0.6300474405288696
"Consider the following example: ‘‘‘The crowd gave the band a standing ovation.’’’ Choice 1: The band signed autographs. Choice 2: The band reappeared on the stage. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The crowd gave the band a standing ovation.,The band signed autographs.,The band reappeared on the stage.,effect,-0.1892642378807068,-0.433086633682251,2,0.2438223958015442,0.433086633682251
"Consider the following example: ‘‘‘The cup of tea was scalding hot.’’’ Choice 1: I blew on it. Choice 2: I poured it out. Q: Which one is more likely to be the effect, choice 1 or choice 2?",The cup of tea was scalding hot.,I blew on it.,I poured it out.,effect,0.10981256514787674,-0.12625443935394287,1,0.2360670045018196,0.12625443935394287
