dataset,position,seed,acc
comparisons,answer,24,1.0
comparisons,answer,25,1.0
comparisons,answer,26,1.0
comparisons,answer,27,1.0
comparisons,answer,28,1.0
comparisons,answer,29,1.0
comparisons,period,0,0.928
comparisons,period,1,0.936
comparisons,period,2,0.934
comparisons,period,3,0.942
comparisons,period,4,0.928
comparisons,period,5,0.928
comparisons,period,6,0.932
comparisons,period,7,0.944
comparisons,period,8,0.934
comparisons,period,9,0.928
comparisons,period,10,0.936
comparisons,period,11,0.944
comparisons,period,12,0.932
comparisons,period,13,0.928
comparisons,period,14,0.932
comparisons,period,15,0.932
comparisons,period,16,0.926
comparisons,period,17,0.942
comparisons,period,18,0.944
comparisons,period,19,0.928
comparisons,period,20,0.934
comparisons,period,21,0.928
comparisons,period,22,0.932
comparisons,period,23,0.944
comparisons,period,24,0.932
comparisons,period,25,0.928
comparisons,period,26,0.944
comparisons,period,27,0.928
comparisons,period,28,0.928
comparisons,period,29,0.938
copa,answer,0,0.516
copa,answer,1,0.484
copa,answer,2,0.56
copa,answer,3,0.568
copa,answer,4,0.536
copa,answer,5,0.56
copa,answer,6,0.628
copa,answer,7,0.648
copa,answer,8,0.624
copa,answer,9,0.604
copa,answer,10,0.6
copa,answer,11,0.656
copa,answer,12,0.52
copa,answer,13,0.668
copa,answer,14,0.488
copa,answer,15,0.492
copa,answer,16,0.584
copa,answer,17,0.684
copa,answer,18,0.592
copa,answer,19,0.54
copa,answer,20,0.576
copa,answer,21,0.6
copa,answer,22,0.592
copa,answer,23,0.66
copa,answer,24,0.568
copa,answer,25,0.524
copa,answer,26,0.692
copa,answer,27,0.668
copa,answer,28,0.504
copa,answer,29,0.588
copa,period,0,0.48
copa,period,1,0.48
copa,period,2,0.48
copa,period,3,0.48
copa,period,4,0.48
copa,period,5,0.48
copa,period,6,0.48
copa,period,7,0.48
copa,period,8,0.48
copa,period,9,0.48
copa,period,10,0.48
copa,period,11,0.444
copa,period,12,0.552
copa,period,13,0.48
copa,period,14,0.444
copa,period,15,0.48
copa,period,16,0.48
copa,period,17,0.536
copa,period,18,0.48
copa,period,19,0.492
copa,period,20,0.48
copa,period,21,0.48
copa,period,22,0.48
copa,period,23,0.48
copa,period,24,0.48
copa,period,25,0.452
copa,period,26,0.48
copa,period,27,0.508
copa,period,28,0.492
copa,period,29,0.48
ent_bank,answer,0,0.868
ent_bank,answer,1,0.802
ent_bank,answer,2,0.868
ent_bank,answer,3,0.87
ent_bank,answer,4,0.864
ent_bank,answer,5,0.578
ent_bank,answer,6,0.908
ent_bank,answer,7,0.876
ent_bank,answer,8,0.902
ent_bank,answer,9,0.884
ent_bank,answer,10,0.846
ent_bank,answer,11,0.87
ent_bank,answer,12,0.874
ent_bank,answer,13,0.882
ent_bank,answer,14,0.536
ent_bank,answer,15,0.906
ent_bank,answer,16,0.874
ent_bank,answer,17,0.818
ent_bank,answer,18,0.866
ent_bank,answer,19,0.906
ent_bank,answer,20,0.866
ent_bank,answer,21,0.872
ent_bank,answer,22,0.894
ent_bank,answer,23,0.896
ent_bank,answer,24,0.758
ent_bank,answer,25,0.87
ent_bank,answer,26,0.876
ent_bank,answer,27,0.868
ent_bank,answer,28,0.878
ent_bank,answer,29,0.598
ent_bank,period,0,0.502
ent_bank,period,1,0.95
ent_bank,period,2,0.948
ent_bank,period,3,0.502
ent_bank,period,4,0.948
ent_bank,period,5,0.502
ent_bank,period,6,0.96
ent_bank,period,7,0.954
ent_bank,period,8,0.94
ent_bank,period,9,0.502
ent_bank,period,10,0.678
ent_bank,period,11,0.946
ent_bank,period,12,0.922
ent_bank,period,13,0.96
ent_bank,period,14,0.956
ent_bank,period,15,0.956
ent_bank,period,16,0.658
ent_bank,period,17,0.502
ent_bank,period,18,0.712
ent_bank,period,19,0.946
ent_bank,period,20,0.502
ent_bank,period,21,0.838
ent_bank,period,22,0.95
ent_bank,period,23,0.916
ent_bank,period,24,0.91
ent_bank,period,25,0.954
ent_bank,period,26,0.926
ent_bank,period,27,0.926
ent_bank,period,28,0.502
ent_bank,period,29,0.954
imdb,answer,0,0.936
imdb,answer,1,0.94
imdb,answer,2,0.942
imdb,answer,3,0.938
imdb,answer,4,0.94
imdb,answer,5,0.942
imdb,answer,6,0.942
imdb,answer,7,0.938
imdb,answer,8,0.94
imdb,answer,9,0.938
imdb,answer,10,0.94
imdb,answer,11,0.944
imdb,answer,12,0.94
imdb,answer,13,0.946
imdb,answer,14,0.94
imdb,answer,15,0.942
imdb,answer,16,0.94
imdb,answer,17,0.932
imdb,answer,18,0.934
imdb,answer,19,0.944
imdb,answer,20,0.94
imdb,answer,21,0.942
imdb,answer,22,0.942
imdb,answer,23,0.942
imdb,answer,24,0.936
imdb,answer,25,0.934
imdb,answer,26,0.946
imdb,answer,27,0.942
imdb,answer,28,0.946
imdb,answer,29,0.938
imdb,period,0,0.92
imdb,period,1,0.918
imdb,period,2,0.916
imdb,period,3,0.924
imdb,period,4,0.92
imdb,period,5,0.922
imdb,period,6,0.922
imdb,period,7,0.924
imdb,period,8,0.914
imdb,period,9,0.906
imdb,period,10,0.918
imdb,period,11,0.924
imdb,period,12,0.926
imdb,period,13,0.926
imdb,period,14,0.914
imdb,period,15,0.92
imdb,period,16,0.928
imdb,period,17,0.924
imdb,period,18,0.926
imdb,period,19,0.912
imdb,period,20,0.918
imdb,period,21,0.922
imdb,period,22,0.916
imdb,period,23,0.922
imdb,period,24,0.924
imdb,period,25,0.898
imdb,period,26,0.914
imdb,period,27,0.926
imdb,period,28,0.91
imdb,period,29,0.924
rte,answer,0,0.522
rte,answer,1,0.518
rte,answer,2,0.516
rte,answer,3,0.542
rte,answer,4,0.554
rte,answer,5,0.494
rte,answer,6,0.504
rte,answer,7,0.488
rte,answer,8,0.522
rte,answer,9,0.55
rte,answer,10,0.516
rte,answer,11,0.554
rte,answer,12,0.554
rte,answer,13,0.618
rte,answer,14,0.474
rte,answer,15,0.532
rte,answer,16,0.498
rte,answer,17,0.518
rte,answer,18,0.548
rte,answer,19,0.624
rte,answer,20,0.554
rte,answer,21,0.504
rte,answer,22,0.518
rte,answer,23,0.626
rte,answer,24,0.54
rte,answer,25,0.542
rte,answer,26,0.556
rte,answer,27,0.536
rte,answer,28,0.542
rte,answer,29,0.548
rte,period,0,0.494
rte,period,1,0.564
rte,period,2,0.51
rte,period,3,0.51
rte,period,4,0.488
rte,period,5,0.544
rte,period,6,0.522
rte,period,7,0.502
rte,period,8,0.542
rte,period,9,0.514
rte,period,10,0.52
rte,period,11,0.542
rte,period,12,0.522
rte,period,13,0.466
rte,period,14,0.534
rte,period,15,0.52
rte,period,16,0.518
rte,period,17,0.498
rte,period,18,0.472
rte,period,19,0.5
rte,period,20,0.538
rte,period,21,0.54
rte,period,22,0.494
rte,period,23,0.516
rte,period,24,0.592
rte,period,25,0.514
rte,period,26,0.526
rte,period,27,0.494
rte,period,28,0.538
rte,period,29,0.556
snli,answer,0,0.534
snli,answer,1,0.578
snli,answer,2,0.704
snli,answer,3,0.566
snli,answer,4,0.624
snli,answer,5,0.596
snli,answer,6,0.778
snli,answer,7,0.642
snli,answer,8,0.692
snli,answer,9,0.768
snli,answer,10,0.532
snli,answer,11,0.596
snli,answer,12,0.684
snli,answer,13,0.738
snli,answer,14,0.836
snli,answer,15,0.632
snli,answer,16,0.748
snli,answer,17,0.67
snli,answer,18,0.672
snli,answer,19,0.63
snli,answer,20,0.502
snli,answer,21,0.572
snli,answer,22,0.648
snli,answer,23,0.644
snli,answer,24,0.572
snli,answer,25,0.748
snli,answer,26,0.604
snli,answer,27,0.506
snli,answer,28,0.566
snli,answer,29,0.662
snli,period,0,0.872
snli,period,1,0.922
snli,period,2,0.796
snli,period,3,0.772
snli,period,4,0.814
snli,period,5,0.728
snli,period,6,0.924
snli,period,7,0.786
snli,period,8,0.838
snli,period,9,0.918
snli,period,10,0.91
snli,period,11,0.766
snli,period,12,0.69
snli,period,13,0.894
snli,period,14,0.924
snli,period,15,0.834
snli,period,16,0.84
snli,period,17,0.716
snli,period,18,0.784
snli,period,19,0.794
snli,period,20,0.838
snli,period,21,0.88
snli,period,22,0.846
snli,period,23,0.728
snli,period,24,0.68
snli,period,25,0.862
snli,period,26,0.828
snli,period,27,0.922
snli,period,28,0.738
snli,period,29,0.842
sp_en_trans,answer,0,1.0
sp_en_trans,answer,1,1.0
sp_en_trans,answer,2,1.0
sp_en_trans,answer,3,0.9943502824858758
sp_en_trans,answer,4,1.0
sp_en_trans,answer,5,0.9943502824858758
sp_en_trans,answer,6,0.9943502824858758
sp_en_trans,answer,7,0.9943502824858758
sp_en_trans,answer,8,0.9943502824858758
sp_en_trans,answer,9,0.9943502824858758
sp_en_trans,answer,10,0.9943502824858758
sp_en_trans,answer,11,0.9943502824858758
sp_en_trans,answer,12,0.9943502824858758
sp_en_trans,answer,13,0.9943502824858758
sp_en_trans,answer,14,1.0
sp_en_trans,answer,15,0.9943502824858758
sp_en_trans,answer,16,0.9943502824858758
sp_en_trans,answer,17,1.0
sp_en_trans,answer,18,1.0
sp_en_trans,answer,19,0.9943502824858758
sp_en_trans,answer,20,0.9943502824858758
sp_en_trans,answer,21,0.9943502824858758
sp_en_trans,answer,22,1.0
sp_en_trans,answer,23,0.9943502824858758
sp_en_trans,answer,24,1.0
sp_en_trans,answer,25,1.0
sp_en_trans,answer,26,0.9943502824858758
sp_en_trans,answer,27,0.9943502824858758
sp_en_trans,answer,28,1.0
sp_en_trans,answer,29,1.0
sp_en_trans,period,0,0.5649717514124294
sp_en_trans,period,1,0.9887005649717514
sp_en_trans,period,2,0.9887005649717514
sp_en_trans,period,3,0.9887005649717514
sp_en_trans,period,4,0.9887005649717514
sp_en_trans,period,5,0.9887005649717514
sp_en_trans,period,6,0.9887005649717514
sp_en_trans,period,7,0.9661016949152542
sp_en_trans,period,8,0.9887005649717514
sp_en_trans,period,9,0.9887005649717514
sp_en_trans,period,10,0.9887005649717514
sp_en_trans,period,11,0.9887005649717514
sp_en_trans,period,12,0.9887005649717514
sp_en_trans,period,13,0.9887005649717514
sp_en_trans,period,14,0.9887005649717514
sp_en_trans,period,15,0.9887005649717514
sp_en_trans,period,16,0.9887005649717514
sp_en_trans,period,17,0.9887005649717514
sp_en_trans,period,18,0.9887005649717514
sp_en_trans,period,19,0.9887005649717514
sp_en_trans,period,20,0.9887005649717514
sp_en_trans,period,21,0.9887005649717514
sp_en_trans,period,22,0.9887005649717514
sp_en_trans,period,23,0.9887005649717514
sp_en_trans,period,24,0.9887005649717514
sp_en_trans,period,25,0.559322033898305
sp_en_trans,period,26,0.9887005649717514
sp_en_trans,period,27,0.9887005649717514
sp_en_trans,period,28,0.5988700564971752
sp_en_trans,period,29,0.9887005649717514
