dataset,position,layer,method,seed,acc
cities,last,14,CCS,2.0,1.0
cities,last,14,CCS,3.0,1.0
cities,last,14,CCS,4.0,1.0
cities,last,15,CCS,0.0,1.0
cities,last,15,CCS,1.0,1.0
cities,last,15,CCS,2.0,1.0
cities,last,15,CCS,3.0,1.0
cities,last,15,CCS,4.0,1.0
cities,last,16,CCS,0.0,1.0
cities,last,16,CCS,1.0,1.0
cities,last,16,CCS,2.0,1.0
cities,last,16,CCS,3.0,1.0
cities,last,16,CCS,4.0,1.0
cities,last,17,CCS,0.0,1.0
cities,last,17,CCS,1.0,1.0
cities,last,17,CCS,2.0,1.0
cities,last,17,CCS,3.0,1.0
cities,last,17,CCS,4.0,1.0
cities,last,18,CCS,0.0,1.0
cities,last,18,CCS,1.0,1.0
cities,last,18,CCS,2.0,1.0
cities,last,18,CCS,3.0,1.0
cities,last,18,CCS,4.0,1.0
cities,last,20,CCS,0.0,1.0
cities,last,20,CCS,1.0,1.0
cities,last,20,CCS,2.0,1.0
cities,last,20,CCS,3.0,1.0
cities,last,20,CCS,4.0,1.0
cities,last,22,CCS,0.0,1.0
cities,last,22,CCS,1.0,1.0
cities,last,22,CCS,2.0,1.0
cities,last,22,CCS,3.0,1.0
cities,last,22,CCS,4.0,1.0
cities,last,24,CCS,0.0,1.0
cities,last,24,CCS,1.0,1.0
cities,last,24,CCS,2.0,1.0
cities,last,24,CCS,3.0,1.0
cities,last,24,CCS,4.0,1.0
comparisons,second_to_last,8,logistic,,0.982
comparisons,second_to_last,10,logistic,,1.0
comparisons,second_to_last,12,logistic,,1.0
comparisons,second_to_last,14,logistic,,1.0
comparisons,second_to_last,15,logistic,,1.0
comparisons,second_to_last,16,logistic,,1.0
comparisons,second_to_last,17,logistic,,1.0
comparisons,second_to_last,18,logistic,,1.0
comparisons,second_to_last,20,logistic,,1.0
comparisons,second_to_last,22,logistic,,1.0
comparisons,second_to_last,24,logistic,,1.0
comparisons,second_to_last,8,tcPCA-1,,0.814
comparisons,second_to_last,10,tcPCA-1,,0.99
comparisons,second_to_last,12,tcPCA-1,,0.996
comparisons,second_to_last,14,tcPCA-1,,1.0
comparisons,second_to_last,15,tcPCA-1,,1.0
comparisons,second_to_last,16,tcPCA-1,,1.0
comparisons,second_to_last,17,tcPCA-1,,1.0
comparisons,second_to_last,18,tcPCA-1,,1.0
comparisons,second_to_last,20,tcPCA-1,,1.0
comparisons,second_to_last,22,tcPCA-1,,0.998
comparisons,second_to_last,24,tcPCA-1,,0.99
comparisons,second_to_last,8,GCC-1,,0.814
comparisons,second_to_last,10,GCC-1,,0.99
comparisons,second_to_last,12,GCC-1,,0.994
comparisons,second_to_last,14,GCC-1,,1.0
comparisons,second_to_last,15,GCC-1,,1.0
comparisons,second_to_last,16,GCC-1,,1.0
comparisons,second_to_last,17,GCC-1,,1.0
comparisons,second_to_last,18,GCC-1,,1.0
comparisons,second_to_last,20,GCC-1,,1.0
comparisons,second_to_last,22,GCC-1,,1.0
comparisons,second_to_last,24,GCC-1,,1.0
comparisons,second_to_last,8,CCS,0.0,0.742
comparisons,second_to_last,8,CCS,1.0,0.748
comparisons,second_to_last,8,CCS,2.0,0.754
comparisons,second_to_last,8,CCS,3.0,0.804
comparisons,second_to_last,8,CCS,4.0,0.588
comparisons,second_to_last,10,CCS,0.0,0.994
comparisons,second_to_last,10,CCS,1.0,0.992
comparisons,second_to_last,10,CCS,2.0,0.992
comparisons,second_to_last,10,CCS,3.0,0.994
comparisons,second_to_last,10,CCS,4.0,0.994
comparisons,second_to_last,12,CCS,0.0,0.992
comparisons,second_to_last,12,CCS,1.0,0.992
comparisons,second_to_last,12,CCS,2.0,0.992
comparisons,second_to_last,12,CCS,3.0,0.992
comparisons,second_to_last,12,CCS,4.0,0.992
comparisons,second_to_last,14,CCS,0.0,1.0
comparisons,second_to_last,14,CCS,1.0,0.992
comparisons,second_to_last,14,CCS,2.0,1.0
comparisons,second_to_last,14,CCS,3.0,1.0
comparisons,second_to_last,14,CCS,4.0,1.0
comparisons,second_to_last,15,CCS,0.0,1.0
comparisons,second_to_last,15,CCS,1.0,1.0
comparisons,second_to_last,15,CCS,2.0,1.0
comparisons,second_to_last,15,CCS,3.0,1.0
comparisons,second_to_last,15,CCS,4.0,1.0
comparisons,second_to_last,16,CCS,0.0,1.0
comparisons,second_to_last,16,CCS,1.0,1.0
comparisons,second_to_last,16,CCS,2.0,1.0
comparisons,second_to_last,16,CCS,3.0,1.0
comparisons,second_to_last,16,CCS,4.0,1.0
comparisons,second_to_last,17,CCS,0.0,1.0
comparisons,second_to_last,17,CCS,1.0,1.0
comparisons,second_to_last,17,CCS,2.0,1.0
comparisons,second_to_last,17,CCS,3.0,1.0
comparisons,second_to_last,17,CCS,4.0,1.0
comparisons,second_to_last,18,CCS,0.0,1.0
comparisons,second_to_last,18,CCS,1.0,1.0
comparisons,second_to_last,18,CCS,2.0,1.0
comparisons,second_to_last,18,CCS,3.0,1.0
comparisons,second_to_last,18,CCS,4.0,1.0
comparisons,second_to_last,20,CCS,0.0,1.0
comparisons,second_to_last,20,CCS,1.0,1.0
comparisons,second_to_last,20,CCS,2.0,1.0
comparisons,second_to_last,20,CCS,3.0,1.0
comparisons,second_to_last,20,CCS,4.0,1.0
comparisons,second_to_last,22,CCS,0.0,1.0
comparisons,second_to_last,22,CCS,1.0,1.0
comparisons,second_to_last,22,CCS,2.0,1.0
comparisons,second_to_last,22,CCS,3.0,1.0
comparisons,second_to_last,22,CCS,4.0,1.0
comparisons,second_to_last,24,CCS,0.0,1.0
comparisons,second_to_last,24,CCS,1.0,0.756
comparisons,second_to_last,24,CCS,2.0,1.0
comparisons,second_to_last,24,CCS,3.0,1.0
comparisons,second_to_last,24,CCS,4.0,1.0
comparisons,last,8,logistic,,0.92
comparisons,last,10,logistic,,0.95
comparisons,last,12,logistic,,0.978
comparisons,last,14,logistic,,0.986
comparisons,last,15,logistic,,0.988
comparisons,last,16,logistic,,0.988
comparisons,last,17,logistic,,0.99
comparisons,last,18,logistic,,0.992
comparisons,last,20,logistic,,0.996
comparisons,last,22,logistic,,0.994
comparisons,last,24,logistic,,0.994
comparisons,last,8,tcPCA-1,,0.606
comparisons,last,10,tcPCA-1,,0.674
comparisons,last,12,tcPCA-1,,0.944
comparisons,last,14,tcPCA-1,,0.946
comparisons,last,15,tcPCA-1,,0.942
comparisons,last,16,tcPCA-1,,0.942
comparisons,last,17,tcPCA-1,,0.946
comparisons,last,18,tcPCA-1,,0.946
comparisons,last,20,tcPCA-1,,0.95
comparisons,last,22,tcPCA-1,,0.95
comparisons,last,24,tcPCA-1,,0.95
comparisons,last,8,GCC-1,,0.626
comparisons,last,10,GCC-1,,0.666
comparisons,last,12,GCC-1,,0.952
comparisons,last,14,GCC-1,,0.96
comparisons,last,15,GCC-1,,0.96
comparisons,last,16,GCC-1,,0.958
comparisons,last,17,GCC-1,,0.96
comparisons,last,18,GCC-1,,0.96
comparisons,last,20,GCC-1,,0.962
comparisons,last,22,GCC-1,,0.946
comparisons,last,24,GCC-1,,0.932
comparisons,last,8,CCS,0.0,0.58
comparisons,last,8,CCS,1.0,0.57
comparisons,last,8,CCS,2.0,0.576
comparisons,last,8,CCS,3.0,0.58
comparisons,last,8,CCS,4.0,0.58
comparisons,last,10,CCS,0.0,0.58
comparisons,last,10,CCS,1.0,0.652
comparisons,last,10,CCS,2.0,0.808
comparisons,last,10,CCS,3.0,0.642
comparisons,last,10,CCS,4.0,0.58
comparisons,last,12,CCS,0.0,0.944
comparisons,last,12,CCS,1.0,0.946
comparisons,last,12,CCS,2.0,0.948
comparisons,last,12,CCS,3.0,0.944
comparisons,last,12,CCS,4.0,0.986
comparisons,last,14,CCS,0.0,0.928
comparisons,last,14,CCS,1.0,0.942
comparisons,last,14,CCS,2.0,0.93
comparisons,last,14,CCS,3.0,0.942
comparisons,last,14,CCS,4.0,0.932
comparisons,last,15,CCS,0.0,0.928
comparisons,last,15,CCS,1.0,0.936
comparisons,last,15,CCS,2.0,0.934
comparisons,last,15,CCS,3.0,0.942
comparisons,last,15,CCS,4.0,0.928
comparisons,last,16,CCS,0.0,0.928
comparisons,last,16,CCS,1.0,0.93
comparisons,last,16,CCS,2.0,0.932
comparisons,last,16,CCS,3.0,0.942
comparisons,last,16,CCS,4.0,0.928
comparisons,last,17,CCS,0.0,0.932
comparisons,last,17,CCS,1.0,0.944
comparisons,last,17,CCS,2.0,0.936
comparisons,last,17,CCS,3.0,0.944
comparisons,last,17,CCS,4.0,0.932
comparisons,last,18,CCS,0.0,0.926
comparisons,last,18,CCS,1.0,0.924
comparisons,last,18,CCS,2.0,0.946
comparisons,last,18,CCS,3.0,0.946
comparisons,last,18,CCS,4.0,0.928
comparisons,last,20,CCS,0.0,0.946
comparisons,last,20,CCS,1.0,0.926
comparisons,last,20,CCS,2.0,0.97
comparisons,last,20,CCS,3.0,0.948
comparisons,last,20,CCS,4.0,0.924
comparisons,last,22,CCS,0.0,0.988
comparisons,last,22,CCS,1.0,0.506
comparisons,last,22,CCS,2.0,0.988
comparisons,last,22,CCS,3.0,0.976
comparisons,last,22,CCS,4.0,0.988
comparisons,last,24,CCS,0.0,0.988
comparisons,last,24,CCS,1.0,0.992
comparisons,last,24,CCS,2.0,0.99
comparisons,last,24,CCS,3.0,0.988
comparisons,last,24,CCS,4.0,0.992
copa,second_to_last,8,logistic,,0.456
copa,second_to_last,10,logistic,,0.788
copa,second_to_last,12,logistic,,0.804
copa,second_to_last,14,logistic,,0.812
copa,second_to_last,15,logistic,,0.82
copa,second_to_last,16,logistic,,0.808
copa,second_to_last,17,logistic,,0.796
copa,second_to_last,18,logistic,,0.804
copa,second_to_last,20,logistic,,0.796
copa,second_to_last,22,logistic,,0.796
copa,second_to_last,24,logistic,,0.768
copa,second_to_last,8,tcPCA-1,,0.5
copa,second_to_last,10,tcPCA-1,,0.544
copa,second_to_last,12,tcPCA-1,,0.508
copa,second_to_last,14,tcPCA-1,,0.496
copa,second_to_last,15,tcPCA-1,,0.508
copa,second_to_last,16,tcPCA-1,,0.52
copa,second_to_last,17,tcPCA-1,,0.532
copa,second_to_last,18,tcPCA-1,,0.516
copa,second_to_last,20,tcPCA-1,,0.592
copa,second_to_last,22,tcPCA-1,,0.584
copa,second_to_last,24,tcPCA-1,,0.556
copa,second_to_last,8,GCC-1,,0.488
copa,second_to_last,10,GCC-1,,0.524
copa,second_to_last,12,GCC-1,,0.568
copa,second_to_last,14,GCC-1,,0.564
copa,second_to_last,15,GCC-1,,0.564
copa,second_to_last,16,GCC-1,,0.576
copa,second_to_last,17,GCC-1,,0.576
copa,second_to_last,18,GCC-1,,0.568
copa,second_to_last,20,GCC-1,,0.576
copa,second_to_last,22,GCC-1,,0.564
copa,second_to_last,24,GCC-1,,0.548
copa,second_to_last,8,CCS,0.0,0.48
copa,second_to_last,8,CCS,1.0,0.48
copa,second_to_last,8,CCS,2.0,0.48
copa,second_to_last,8,CCS,3.0,0.48
copa,second_to_last,8,CCS,4.0,0.48
copa,second_to_last,10,CCS,0.0,0.548
copa,second_to_last,10,CCS,1.0,0.496
copa,second_to_last,10,CCS,2.0,0.524
copa,second_to_last,10,CCS,3.0,0.532
copa,second_to_last,10,CCS,4.0,0.532
copa,second_to_last,12,CCS,0.0,0.52
copa,second_to_last,12,CCS,1.0,0.5
copa,second_to_last,12,CCS,2.0,0.544
copa,second_to_last,12,CCS,3.0,0.536
copa,second_to_last,12,CCS,4.0,0.576
copa,second_to_last,14,CCS,0.0,0.532
copa,second_to_last,14,CCS,1.0,0.504
copa,second_to_last,14,CCS,2.0,0.528
copa,second_to_last,14,CCS,3.0,0.548
copa,second_to_last,14,CCS,4.0,0.552
copa,second_to_last,15,CCS,0.0,0.516
copa,second_to_last,15,CCS,1.0,0.484
copa,second_to_last,15,CCS,2.0,0.56
copa,second_to_last,15,CCS,3.0,0.568
copa,second_to_last,15,CCS,4.0,0.536
copa,second_to_last,16,CCS,0.0,0.528
copa,second_to_last,16,CCS,1.0,0.644
copa,second_to_last,16,CCS,2.0,0.596
copa,second_to_last,16,CCS,3.0,0.508
copa,second_to_last,16,CCS,4.0,0.54
copa,second_to_last,17,CCS,0.0,0.528
copa,second_to_last,17,CCS,1.0,0.64
copa,second_to_last,17,CCS,2.0,0.6
copa,second_to_last,17,CCS,3.0,0.52
copa,second_to_last,17,CCS,4.0,0.5
copa,second_to_last,18,CCS,0.0,0.58
copa,second_to_last,18,CCS,1.0,0.616
copa,second_to_last,18,CCS,2.0,0.576
copa,second_to_last,18,CCS,3.0,0.52
copa,second_to_last,18,CCS,4.0,0.516
copa,second_to_last,20,CCS,0.0,0.72
copa,second_to_last,20,CCS,1.0,0.692
copa,second_to_last,20,CCS,2.0,0.56
copa,second_to_last,20,CCS,3.0,0.5
copa,second_to_last,20,CCS,4.0,0.48
copa,second_to_last,22,CCS,0.0,0.664
copa,second_to_last,22,CCS,1.0,0.68
copa,second_to_last,22,CCS,2.0,0.512
copa,second_to_last,22,CCS,3.0,0.5
copa,second_to_last,22,CCS,4.0,0.524
copa,second_to_last,24,CCS,0.0,0.64
copa,second_to_last,24,CCS,1.0,0.636
copa,second_to_last,24,CCS,2.0,0.504
copa,second_to_last,24,CCS,3.0,0.508
copa,second_to_last,24,CCS,4.0,0.492
copa,last,8,logistic,,0.476
copa,last,10,logistic,,0.5
copa,last,12,logistic,,0.724
copa,last,14,logistic,,0.724
copa,last,15,logistic,,0.74
copa,last,16,logistic,,0.772
copa,last,17,logistic,,0.748
copa,last,18,logistic,,0.744
copa,last,20,logistic,,0.728
copa,last,22,logistic,,0.72
copa,last,24,logistic,,0.712
copa,last,8,tcPCA-1,,0.496
copa,last,10,tcPCA-1,,0.512
copa,last,12,tcPCA-1,,0.512
copa,last,14,tcPCA-1,,0.516
copa,last,15,tcPCA-1,,0.512
copa,last,16,tcPCA-1,,0.508
copa,last,17,tcPCA-1,,0.484
copa,last,18,tcPCA-1,,0.48
copa,last,20,tcPCA-1,,0.488
copa,last,22,tcPCA-1,,0.476
copa,last,24,tcPCA-1,,0.488
copa,last,8,GCC-1,,0.512
copa,last,10,GCC-1,,0.504
copa,last,12,GCC-1,,0.488
copa,last,14,GCC-1,,0.516
copa,last,15,GCC-1,,0.52
copa,last,16,GCC-1,,0.516
copa,last,17,GCC-1,,0.508
copa,last,18,GCC-1,,0.48
