activation,branch,role,label,truth,question,answer,text,rel_rank
-2.8228683471679688,1,cf,0,1,"Consider the following example: ‘‘‘The pharmaceutical company recalled the drug.’’’ Choice 1: Users reported dangerous side effects. Choice 2: Users got refills on their prescriptions. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The pharmaceutical company recalled the drug.’’’ Choice 1: Users reported dangerous side effects. Choice 2: Users got refills on their prescriptions. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.02004008016032064
-2.7967209815979004,1,cf,1,0,"Consider the following example: ‘‘‘The girl wanted to demonstrate proper etiquette.’’’ Choice 1: She threw away her napkin after eating. Choice 2: She put her napkin on her lap before eating. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The girl wanted to demonstrate proper etiquette.’’’ Choice 1: She threw away her napkin after eating. Choice 2: She put her napkin on her lap before eating. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.022044088176352707
-2.7948718070983887,0,base,0,0,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman was in a bad mood.’’’ Choice 1: She engaged in small talk with her friend. Choice 2: She told her friend to leave her alone. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.02404809619238477
-2.7391605377197266,0,base,1,1,"Consider the following example: ‘‘‘The scientist conducted an experiment.’’’ Choice 1: She validated her theory. Choice 2: She fabricated her data. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The scientist conducted an experiment.’’’ Choice 1: She validated her theory. Choice 2: She fabricated her data. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.026052104208416832
-2.726722240447998,1,cf,0,1,"Consider the following example: ‘‘‘The boy climbed the tree.’’’ Choice 1: A cat got stuck in the tree. Choice 2: A bird built a nest in the tree. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The boy climbed the tree.’’’ Choice 1: A cat got stuck in the tree. Choice 2: A bird built a nest in the tree. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.028056112224448898
-2.6079397201538086,0,base,1,1,"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘I learned how to play the board game.’’’ Choice 1: My friend explained the rules to me. Choice 2: My friend got the rules wrong. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.03006012024048096
-2.603776454925537,1,cf,0,1,"Consider the following example: ‘‘‘The girl shared her lunch with her friend.’’’ Choice 1: Her friend forgot to bring his lunch. Choice 2: Her friend sat next to her at lunch. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The girl shared her lunch with her friend.’’’ Choice 1: Her friend forgot to bring his lunch. Choice 2: Her friend sat next to her at lunch. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.03206412825651302
-2.5956931114196777,1,cf,1,0,"Consider the following example: ‘‘‘The chef pressed down on the dough.’’’ Choice 1: The dough crumbled. Choice 2: The dough flattened. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The chef pressed down on the dough.’’’ Choice 1: The dough crumbled. Choice 2: The dough flattened. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.03406813627254509
-2.555840492248535,0,base,1,1,"Consider the following example: ‘‘‘The woman tolerated her friend's difficult behavior.’’’ Choice 1: The woman knew her friend was going through a hard time. Choice 2: The woman felt that her friend took advantage of her kindness. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman tolerated her friend's difficult behavior.’’’ Choice 1: The woman knew her friend was going through a hard time. Choice 2: The woman felt that her friend took advantage of her kindness. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.036072144288577156
-2.4732627868652344,1,cf,1,0,"Consider the following example: ‘‘‘I regained composure from my fit of anger.’’’ Choice 1: My heart pounded. Choice 2: I took deep breaths. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I regained composure from my fit of anger.’’’ Choice 1: My heart pounded. Choice 2: I took deep breaths. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.03807615230460922
-2.434953212738037,1,cf,1,0,"Consider the following example: ‘‘‘The girl handed down her clothes to her younger sister.’’’ Choice 1: The clothes were tattered. Choice 2: She outgrew the clothes. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The girl handed down her clothes to her younger sister.’’’ Choice 1: The clothes were tattered. Choice 2: She outgrew the clothes. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.04008016032064128
-2.4308786392211914,1,cf,0,1,"Consider the following example: ‘‘‘I botched the job interview.’’’ Choice 1: The interviewer asked difficult questions. Choice 2: I anticipated the interviewer's questions. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I botched the job interview.’’’ Choice 1: The interviewer asked difficult questions. Choice 2: I anticipated the interviewer's questions. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.04208416833667335
-2.4214372634887695,1,cf,1,0,"Consider the following example: ‘‘‘The shirt shrunk.’’’ Choice 1: I poured bleach on it. Choice 2: I put it in the dryer. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The shirt shrunk.’’’ Choice 1: I poured bleach on it. Choice 2: I put it in the dryer. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.04408817635270541
-2.3205301761627197,0,base,1,1,"Consider the following example: ‘‘‘I rubbed sandpaper on the wood.’’’ Choice 1: The wood became smooth. Choice 2: The wood became sticky. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘I rubbed sandpaper on the wood.’’’ Choice 1: The wood became smooth. Choice 2: The wood became sticky. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.04609218436873747
-2.2872238159179688,0,base,0,0,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman filed a restraining order against the man.’’’ Choice 1: The man called her. Choice 2: The man stalked her. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.04809619238476954
-2.2579262256622314,1,cf,1,0,"Consider the following example: ‘‘‘The city re-elected the mayor.’’’ Choice 1: The city cut its budget. Choice 2: The mayor fulfilled his promises. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The city re-elected the mayor.’’’ Choice 1: The city cut its budget. Choice 2: The mayor fulfilled his promises. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.050100200400801605
-2.207284450531006,1,cf,0,1,"Consider the following example: ‘‘‘The man wanted to get revenge on his enemy.’’’ Choice 1: The man framed his enemy for a crime. Choice 2: The man declared a truce with his enemy. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The man wanted to get revenge on his enemy.’’’ Choice 1: The man framed his enemy for a crime. Choice 2: The man declared a truce with his enemy. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.052104208416833664
-2.198418378829956,1,cf,1,0,"Consider the following example: ‘‘‘The teacher caught the student chewing gum.’’’ Choice 1: The gum stuck to the student's shoe. Choice 2: The student spit out the gum. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The teacher caught the student chewing gum.’’’ Choice 1: The gum stuck to the student's shoe. Choice 2: The student spit out the gum. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.05410821643286573
-2.1974709033966064,0,base,1,1,"Consider the following example: ‘‘‘The host served dinner to his guests.’’’ Choice 1: His guests were gracious. Choice 2: His guests went hungry. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The host served dinner to his guests.’’’ Choice 1: His guests were gracious. Choice 2: His guests went hungry. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.056112224448897796
-2.1622092723846436,1,cf,1,0,"Consider the following example: ‘‘‘The woman took her family on vacation.’’’ Choice 1: Her husband got laid off. Choice 2: She received a salary bonus. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman took her family on vacation.’’’ Choice 1: Her husband got laid off. Choice 2: She received a salary bonus. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.05811623246492986
-2.1472206115722656,1,cf,0,1,"Consider the following example: ‘‘‘The horse bucked.’’’ Choice 1: A fly bit the horse. Choice 2: The rider stroked the horse. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The horse bucked.’’’ Choice 1: A fly bit the horse. Choice 2: The rider stroked the horse. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.06012024048096192
-2.145451068878174,0,base,1,1,"Consider the following example: ‘‘‘The man revealed personal information to the therapist.’’’ Choice 1: He trusted the therapist. Choice 2: He disagreed with the therapist. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The man revealed personal information to the therapist.’’’ Choice 1: He trusted the therapist. Choice 2: He disagreed with the therapist. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.06212424849699399
-2.096926212310791,1,cf,1,0,"Consider the following example: ‘‘‘The woman hummed to herself.’’’ Choice 1: She was nervous. Choice 2: She was in a good mood. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman hummed to herself.’’’ Choice 1: She was nervous. Choice 2: She was in a good mood. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.06412825651302605
-2.090247631072998,1,cf,1,0,"Consider the following example: ‘‘‘The flashlight was dead.’’’ Choice 1: I took it apart. Choice 2: I replaced the batteries. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The flashlight was dead.’’’ Choice 1: I took it apart. Choice 2: I replaced the batteries. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.06613226452905811
-2.0724189281463623,1,cf,0,1,"Consider the following example: ‘‘‘The homeowners disliked their nosy neighbors.’’’ Choice 1: They built a fence around their property. Choice 2: They hosted a barbeque in their backyard. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The homeowners disliked their nosy neighbors.’’’ Choice 1: They built a fence around their property. Choice 2: They hosted a barbeque in their backyard. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.06813627254509018
-2.063821792602539,0,base,0,0,"Consider the following example: ‘‘‘The smoke alarm went off.’’’ Choice 1: I lit a candle. Choice 2: I burnt my dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The smoke alarm went off.’’’ Choice 1: I lit a candle. Choice 2: I burnt my dinner. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.07014028056112225
-2.0614218711853027,1,cf,1,0,"Consider the following example: ‘‘‘The police eliminated the woman from the list of suspects.’’’ Choice 1: The police interrogated her. Choice 2: Her alibi checked out. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The police eliminated the woman from the list of suspects.’’’ Choice 1: The police interrogated her. Choice 2: Her alibi checked out. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.07214428857715431
-2.0426955223083496,1,cf,0,1,"Consider the following example: ‘‘‘The student was in a rush to get to school on time.’’’ Choice 1: He left his assignment at home. Choice 2: He brought his lunch to school. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The student was in a rush to get to school on time.’’’ Choice 1: He left his assignment at home. Choice 2: He brought his lunch to school. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.07414829659318638
-2.0012636184692383,0,base,0,0,"Consider the following example: ‘‘‘The woman betrayed her friend.’’’ Choice 1: Her friend sent her a greeting card. Choice 2: Her friend cut off contact with her. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman betrayed her friend.’’’ Choice 1: Her friend sent her a greeting card. Choice 2: Her friend cut off contact with her. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.07615230460921844
-1.9777188301086426,0,base,0,0,"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The boat capsized.’’’ Choice 1: The captain raised the sail. Choice 2: It was caught in a hurricane. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.0781563126252505
-1.9735338687896729,0,base,0,0,"Consider the following example: ‘‘‘The woman was arrested.’’’ Choice 1: She checked into rehab. Choice 2: She committed assault. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman was arrested.’’’ Choice 1: She checked into rehab. Choice 2: She committed assault. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.08016032064128256
-1.9431519508361816,1,cf,1,0,"Consider the following example: ‘‘‘My friend paid for my ticket.’’’ Choice 1: I sought a refund. Choice 2: I paid her back. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘My friend paid for my ticket.’’’ Choice 1: I sought a refund. Choice 2: I paid her back. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.08216432865731463
-1.9276797771453857,1,cf,1,0,"Consider the following example: ‘‘‘The man woke up with a toothache.’’’ Choice 1: He missed an appointment with the dentist. Choice 2: He made an appointment with the dentist. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The man woke up with a toothache.’’’ Choice 1: He missed an appointment with the dentist. Choice 2: He made an appointment with the dentist. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.0841683366733467
-1.9217692613601685,1,cf,1,0,"Consider the following example: ‘‘‘The chair squeaked.’’’ Choice 1: The man carried the chair to his office. Choice 2: The man scooted the chair closer to his desk. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The chair squeaked.’’’ Choice 1: The man carried the chair to his office. Choice 2: The man scooted the chair closer to his desk. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.08617234468937876
-1.9144091606140137,1,cf,1,0,"Consider the following example: ‘‘‘The customer came into the boutique.’’’ Choice 1: She left her wallet at home. Choice 2: The window display caught her eye. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The customer came into the boutique.’’’ Choice 1: She left her wallet at home. Choice 2: The window display caught her eye. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.08817635270541083
-1.9108874797821045,1,cf,1,0,"Consider the following example: ‘‘‘The secretary put the caller on hold.’’’ Choice 1: The caller's phone lost reception. Choice 2: The caller waited on the line. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The secretary put the caller on hold.’’’ Choice 1: The caller's phone lost reception. Choice 2: The caller waited on the line. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.09018036072144289
-1.8742810487747192,0,base,0,0,"Consider the following example: ‘‘‘My computer crashed.’’’ Choice 1: I installed new speakers. Choice 2: I lost all my data. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘My computer crashed.’’’ Choice 1: I installed new speakers. Choice 2: I lost all my data. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.09218436873747494
-1.8675110340118408,1,cf,0,1,"Consider the following example: ‘‘‘The surfer caught the wave.’’’ Choice 1: The wave carried her to the shore. Choice 2: She paddled her board into the ocean. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The surfer caught the wave.’’’ Choice 1: The wave carried her to the shore. Choice 2: She paddled her board into the ocean. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.09418837675350701
-1.8599189519882202,1,cf,0,1,"Consider the following example: ‘‘‘I coughed.’’’ Choice 1: I inhaled smoke. Choice 2: I lowered my voice. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I coughed.’’’ Choice 1: I inhaled smoke. Choice 2: I lowered my voice. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.09619238476953908
-1.8531430959701538,0,base,0,0,"Consider the following example: ‘‘‘The computer was expensive to fix.’’’ Choice 1: I got it repaired. Choice 2: I bought a new one. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The computer was expensive to fix.’’’ Choice 1: I got it repaired. Choice 2: I bought a new one. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.09819639278557114
-1.8343853950500488,1,cf,0,1,"Consider the following example: ‘‘‘The woman was deemed mentally ill.’’’ Choice 1: She was sent to a psychiatric institution. Choice 2: She sought a career as a psychiatrist. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman was deemed mentally ill.’’’ Choice 1: She was sent to a psychiatric institution. Choice 2: She sought a career as a psychiatrist. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.10020040080160321
-1.8291136026382446,0,base,1,1,"Consider the following example: ‘‘‘The product was heavily advertised.’’’ Choice 1: Consumers recognized the product. Choice 2: The product became outdated. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The product was heavily advertised.’’’ Choice 1: Consumers recognized the product. Choice 2: The product became outdated. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.10220440881763528
-1.7546734809875488,0,base,1,1,"Consider the following example: ‘‘‘My knees buckled on the stairs.’’’ Choice 1: I caught myself on the railing. Choice 2: The railing came loose from the wall. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘My knees buckled on the stairs.’’’ Choice 1: I caught myself on the railing. Choice 2: The railing came loose from the wall. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.10420841683366733
-1.7465928792953491,1,cf,1,0,"Consider the following example: ‘‘‘The woman presented her brother with a gift.’’’ Choice 1: Her brother refused to accept the gift. Choice 2: Her brother unwrapped the gift. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The woman presented her brother with a gift.’’’ Choice 1: Her brother refused to accept the gift. Choice 2: Her brother unwrapped the gift. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 2.",0.1062124248496994
-1.720125436782837,0,base,1,1,"Consider the following example: ‘‘‘The man became disabled.’’’ Choice 1: His family offered him financial support. Choice 2: His family cut off contact with him. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The man became disabled.’’’ Choice 1: His family offered him financial support. Choice 2: His family cut off contact with him. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.10821643286573146
-1.716267466545105,0,base,1,1,"Consider the following example: ‘‘‘The girl wanted to wear earrings.’’’ Choice 1: She got her ears pierced. Choice 2: She got a tattoo. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The girl wanted to wear earrings.’’’ Choice 1: She got her ears pierced. Choice 2: She got a tattoo. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.11022044088176353
-1.7136974334716797,0,base,0,0,"Consider the following example: ‘‘‘I ironed my shirt.’’’ Choice 1: It was clean. Choice 2: It was wrinkled. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘I ironed my shirt.’’’ Choice 1: It was clean. Choice 2: It was wrinkled. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.11222444889779559
-1.7049447298049927,1,cf,0,1,"Consider the following example: ‘‘‘The chandelier shattered on the floor.’’’ Choice 1: The chandelier dropped from the ceiling. Choice 2: The chandelier's lights flickered on and off. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The chandelier shattered on the floor.’’’ Choice 1: The chandelier dropped from the ceiling. Choice 2: The chandelier's lights flickered on and off. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.11422845691382766
-1.687309980392456,0,base,1,1,"Consider the following example: ‘‘‘I put my hands under the running faucet.’’’ Choice 1: The soap rinsed off my hands. Choice 2: The water splashed in my face. Q: Which one is more likely to be the effect, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘I put my hands under the running faucet.’’’ Choice 1: The soap rinsed off my hands. Choice 2: The water splashed in my face. Q: Which one is more likely to be the effect, choice 1 or choice 2? choice 1.",0.11623246492985972
-1.6790714263916016,1,cf,1,0,"Consider the following example: ‘‘‘I wrote a thank-you note to my grandmother.’’’ Choice 1: She became forgetful. Choice 2: She sent me a gift. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘I wrote a thank-you note to my grandmother.’’’ Choice 1: She became forgetful. Choice 2: She sent me a gift. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.11823647294589178
-1.6668869256973267,1,cf,0,1,"Consider the following example: ‘‘‘The mother scolded her daughter.’’’ Choice 1: Her daughter burped at the kitchen table. Choice 2: Her daughter set the kitchen table. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The mother scolded her daughter.’’’ Choice 1: Her daughter burped at the kitchen table. Choice 2: Her daughter set the kitchen table. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.12024048096192384
-1.6153619289398193,1,cf,1,0,"Consider the following example: ‘‘‘The patient underwent the risky medical procedure.’’’ Choice 1: The procedure was costly. Choice 2: Specialists recommended the procedure. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 2,"Consider the following example: ‘‘‘The patient underwent the risky medical procedure.’’’ Choice 1: The procedure was costly. Choice 2: Specialists recommended the procedure. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 2.",0.12224448897795591
-1.6098837852478027,0,base,0,0,"Consider the following example: ‘‘‘The woman walked with crutches.’’’ Choice 1: She shaved her legs. Choice 2: She broke her leg. Q: Which one is more likely to be the cause, choice 1 or choice 2?",choice 1,"Consider the following example: ‘‘‘The woman walked with crutches.’’’ Choice 1: She shaved her legs. Choice 2: She broke her leg. Q: Which one is more likely to be the cause, choice 1 or choice 2? choice 1.",0.12424849699398798
