dataset,position,seed,acc
sp_en_trans,answer,3,1.0
sp_en_trans,answer,4,1.0
sp_en_trans,answer,5,1.0
sp_en_trans,answer,6,1.0
sp_en_trans,answer,7,1.0
sp_en_trans,answer,8,1.0
sp_en_trans,answer,9,1.0
sp_en_trans,answer,10,1.0
sp_en_trans,answer,11,1.0
sp_en_trans,answer,12,1.0
sp_en_trans,answer,13,1.0
sp_en_trans,answer,14,1.0
sp_en_trans,answer,15,1.0
sp_en_trans,answer,16,1.0
sp_en_trans,answer,17,1.0
sp_en_trans,answer,18,1.0
sp_en_trans,answer,19,1.0
sp_en_trans,answer,20,1.0
sp_en_trans,answer,21,1.0
sp_en_trans,answer,22,1.0
sp_en_trans,answer,23,1.0
sp_en_trans,answer,24,1.0
sp_en_trans,answer,25,1.0
sp_en_trans,answer,26,1.0
sp_en_trans,answer,27,1.0
sp_en_trans,answer,28,1.0
sp_en_trans,answer,29,1.0
sp_en_trans,period,0,1.0
sp_en_trans,period,1,1.0
sp_en_trans,period,2,1.0
sp_en_trans,period,3,1.0
sp_en_trans,period,4,1.0
sp_en_trans,period,5,1.0
sp_en_trans,period,6,1.0
sp_en_trans,period,7,1.0
sp_en_trans,period,8,1.0
sp_en_trans,period,9,1.0
sp_en_trans,period,10,1.0
sp_en_trans,period,11,1.0
sp_en_trans,period,12,1.0
sp_en_trans,period,13,1.0
sp_en_trans,period,14,1.0
sp_en_trans,period,15,1.0
sp_en_trans,period,16,1.0
sp_en_trans,period,17,1.0
sp_en_trans,period,18,1.0
sp_en_trans,period,19,1.0
sp_en_trans,period,20,1.0
sp_en_trans,period,21,1.0
sp_en_trans,period,22,1.0
sp_en_trans,period,23,1.0
sp_en_trans,period,24,1.0
sp_en_trans,period,25,1.0
sp_en_trans,period,26,1.0
sp_en_trans,period,27,1.0
sp_en_trans,period,28,1.0
sp_en_trans,period,29,1.0
