dataset,split,pair_id,base_id,counterfactual_id
comparisons,train,comparisons_1885_b0_4633,comparisons_1885_b0,comparisons_1885_b1
comparisons,train,comparisons_1809_b0_4634,comparisons_1809_b0,comparisons_1809_b1
comparisons,train,comparisons_283_b0_4635,comparisons_283_b0,comparisons_283_b1
comparisons,train,comparisons_1785_b0_4636,comparisons_1785_b0,comparisons_1785_b1
comparisons,train,comparisons_820_b0_4637,comparisons_820_b0,comparisons_820_b1
comparisons,train,comparisons_660_b0_4638,comparisons_660_b0,comparisons_660_b1
comparisons,train,comparisons_971_b0_4639,comparisons_971_b0,comparisons_971_b1
comparisons,train,comparisons_70_b0_4640,comparisons_70_b0,comparisons_70_b1
comparisons,train,comparisons_77_b0_4641,comparisons_77_b0,comparisons_77_b1
comparisons,train,comparisons_911_b0_4642,comparisons_911_b0,comparisons_911_b1
comparisons,train,comparisons_1913_b0_4643,comparisons_1913_b0,comparisons_1913_b1
comparisons,train,comparisons_567_b0_4644,comparisons_567_b0,comparisons_567_b1
comparisons,train,comparisons_400_b0_4645,comparisons_400_b0,comparisons_400_b1
comparisons,train,comparisons_1258_b0_4646,comparisons_1258_b0,comparisons_1258_b1
comparisons,train,comparisons_1490_b0_4647,comparisons_1490_b0,comparisons_1490_b1
comparisons,train,comparisons_1028_b0_4648,comparisons_1028_b0,comparisons_1028_b1
comparisons,train,comparisons_620_b0_4649,comparisons_620_b0,comparisons_620_b1
comparisons,train,comparisons_798_b0_4650,comparisons_798_b0,comparisons_798_b1
comparisons,train,comparisons_470_b0_4651,comparisons_470_b0,comparisons_470_b1
comparisons,train,comparisons_144_b0_4652,comparisons_144_b0,comparisons_144_b1
comparisons,train,comparisons_1330_b0_4653,comparisons_1330_b0,comparisons_1330_b1
comparisons,train,comparisons_1108_b0_4654,comparisons_1108_b0,comparisons_1108_b1
comparisons,train,comparisons_446_b0_4655,comparisons_446_b0,comparisons_446_b1
comparisons,train,comparisons_929_b0_4656,comparisons_929_b0,comparisons_929_b1
comparisons,train,comparisons_1756_b0_4657,comparisons_1756_b0,comparisons_1756_b1
comparisons,train,comparisons_895_b0_4658,comparisons_895_b0,comparisons_895_b1
comparisons,train,comparisons_145_b0_4659,comparisons_145_b0,comparisons_145_b1
comparisons,train,comparisons_177_b0_4660,comparisons_177_b0,comparisons_177_b1
comparisons,train,comparisons_1100_b0_4661,comparisons_1100_b0,comparisons_1100_b1
comparisons,train,comparisons_1347_b0_4662,comparisons_1347_b0,comparisons_1347_b1
comparisons,train,comparisons_1776_b0_4663,comparisons_1776_b0,comparisons_1776_b1
comparisons,train,comparisons_1110_b0_4664,comparisons_1110_b0,comparisons_1110_b1
comparisons,train,comparisons_1454_b0_4665,comparisons_1454_b0,comparisons_1454_b1
comparisons,train,comparisons_1584_b0_4666,comparisons_1584_b0,comparisons_1584_b1
comparisons,train,comparisons_1405_b0_4667,comparisons_1405_b0,comparisons_1405_b1
comparisons,train,comparisons_1601_b0_4668,comparisons_1601_b0,comparisons_1601_b1
comparisons,train,comparisons_1430_b0_4669,comparisons_1430_b0,comparisons_1430_b1
comparisons,train,comparisons_1453_b0_4670,comparisons_1453_b0,comparisons_1453_b1
comparisons,train,comparisons_898_b0_4671,comparisons_898_b0,comparisons_898_b1
comparisons,train,comparisons_131_b0_4672,comparisons_131_b0,comparisons_131_b1
comparisons,train,comparisons_548_b0_4673,comparisons_548_b0,comparisons_548_b1
comparisons,train,comparisons_841_b0_4674,comparisons_841_b0,comparisons_841_b1
comparisons,train,comparisons_937_b0_4675,comparisons_937_b0,comparisons_937_b1
comparisons,train,comparisons_1055_b0_4676,comparisons_1055_b0,comparisons_1055_b1
comparisons,train,comparisons_1719_b0_4677,comparisons_1719_b0,comparisons_1719_b1
comparisons,train,comparisons_865_b0_4678,comparisons_865_b0,comparisons_865_b1
comparisons,train,comparisons_245_b0_4679,comparisons_245_b0,comparisons_245_b1
comparisons,train,comparisons_1199_b0_4680,comparisons_1199_b0,comparisons_1199_b1
comparisons,train,comparisons_961_b0_4681,comparisons_961_b0,comparisons_961_b1
comparisons,train,comparisons_1122_b0_4682,comparisons_1122_b0,comparisons_1122_b1
comparisons,train,comparisons_1573_b0_4683,comparisons_1573_b0,comparisons_1573_b1
comparisons,train,comparisons_1938_b0_4684,comparisons_1938_b0,comparisons_1938_b1
comparisons,train,comparisons_1944_b0_4685,comparisons_1944_b0,comparisons_1944_b1
comparisons,train,comparisons_882_b0_4686,comparisons_882_b0,comparisons_882_b1
comparisons,train,comparisons_346_b0_4687,comparisons_346_b0,comparisons_346_b1
comparisons,train,comparisons_1558_b0_4688,comparisons_1558_b0,comparisons_1558_b1
comparisons,train,comparisons_1165_b0_4689,comparisons_1165_b0,comparisons_1165_b1
comparisons,train,comparisons_1078_b0_4690,comparisons_1078_b0,comparisons_1078_b1
comparisons,train,comparisons_1150_b0_4691,comparisons_1150_b0,comparisons_1150_b1
comparisons,train,comparisons_857_b0_4692,comparisons_857_b0,comparisons_857_b1
comparisons,train,comparisons_1016_b0_4693,comparisons_1016_b0,comparisons_1016_b1
comparisons,train,comparisons_1630_b0_4694,comparisons_1630_b0,comparisons_1630_b1
comparisons,train,comparisons_478_b0_4695,comparisons_478_b0,comparisons_478_b1
comparisons,train,comparisons_289_b0_4696,comparisons_289_b0,comparisons_289_b1
comparisons,train,comparisons_524_b0_4697,comparisons_524_b0,comparisons_524_b1
comparisons,train,comparisons_1133_b0_4698,comparisons_1133_b0,comparisons_1133_b1
comparisons,train,comparisons_1411_b0_4699,comparisons_1411_b0,comparisons_1411_b1
comparisons,train,comparisons_689_b0_4700,comparisons_689_b0,comparisons_689_b1
comparisons,train,comparisons_1412_b0_4701,comparisons_1412_b0,comparisons_1412_b1
comparisons,train,comparisons_1291_b0_4702,comparisons_1291_b0,comparisons_1291_b1
comparisons,train,comparisons_1727_b0_4703,comparisons_1727_b0,comparisons_1727_b1
comparisons,train,comparisons_671_b0_4704,comparisons_671_b0,comparisons_671_b1
comparisons,train,comparisons_1143_b0_4705,comparisons_1143_b0,comparisons_1143_b1
comparisons,train,comparisons_925_b0_4706,comparisons_925_b0,comparisons_925_b1
comparisons,train,comparisons_667_b0_4707,comparisons_667_b0,comparisons_667_b1
comparisons,train,comparisons_1567_b0_4708,comparisons_1567_b0,comparisons_1567_b1
comparisons,train,comparisons_722_b0_4709,comparisons_722_b0,comparisons_722_b1
comparisons,train,comparisons_150_b0_4710,comparisons_150_b0,comparisons_150_b1
comparisons,train,comparisons_677_b0_4711,comparisons_677_b0,comparisons_677_b1
comparisons,train,comparisons_198_b0_4712,comparisons_198_b0,comparisons_198_b1
comparisons,train,comparisons_816_b0_4713,comparisons_816_b0,comparisons_816_b1
comparisons,train,comparisons_428_b0_4714,comparisons_428_b0,comparisons_428_b1
comparisons,train,comparisons_1507_b0_4715,comparisons_1507_b0,comparisons_1507_b1
comparisons,train,comparisons_753_b0_4716,comparisons_753_b0,comparisons_753_b1
comparisons,train,comparisons_861_b0_4717,comparisons_861_b0,comparisons_861_b1
comparisons,train,comparisons_53_b0_4718,comparisons_53_b0,comparisons_53_b1
comparisons,train,comparisons_1499_b0_4719,comparisons_1499_b0,comparisons_1499_b1
comparisons,train,comparisons_1032_b0_4720,comparisons_1032_b0,comparisons_1032_b1
comparisons,train,comparisons_1257_b0_4721,comparisons_1257_b0,comparisons_1257_b1
comparisons,train,comparisons_1352_b0_4722,comparisons_1352_b0,comparisons_1352_b1
comparisons,train,comparisons_1979_b0_4723,comparisons_1979_b0,comparisons_1979_b1
comparisons,train,comparisons_182_b0_4724,comparisons_182_b0,comparisons_182_b1
comparisons,train,comparisons_203_b0_4725,comparisons_203_b0,comparisons_203_b1
comparisons,train,comparisons_829_b0_4726,comparisons_829_b0,comparisons_829_b1
comparisons,train,comparisons_1748_b0_4727,comparisons_1748_b0,comparisons_1748_b1
comparisons,train,comparisons_1541_b0_4728,comparisons_1541_b0,comparisons_1541_b1
comparisons,train,comparisons_828_b0_4729,comparisons_828_b0,comparisons_828_b1
comparisons,train,comparisons_1906_b0_4730,comparisons_1906_b0,comparisons_1906_b1
comparisons,train,comparisons_640_b0_4731,comparisons_640_b0,comparisons_640_b1
comparisons,train,comparisons_1226_b0_4732,comparisons_1226_b0,comparisons_1226_b1
comparisons,train,comparisons_953_b0_4733,comparisons_953_b0,comparisons_953_b1
comparisons,train,comparisons_787_b0_4734,comparisons_787_b0,comparisons_787_b1
comparisons,train,comparisons_1233_b0_4735,comparisons_1233_b0,comparisons_1233_b1
comparisons,train,comparisons_1845_b0_4736,comparisons_1845_b0,comparisons_1845_b1
comparisons,train,comparisons_1445_b0_4737,comparisons_1445_b0,comparisons_1445_b1
comparisons,train,comparisons_1469_b0_4738,comparisons_1469_b0,comparisons_1469_b1
comparisons,train,comparisons_1942_b0_4739,comparisons_1942_b0,comparisons_1942_b1
comparisons,train,comparisons_1832_b0_4740,comparisons_1832_b0,comparisons_1832_b1
comparisons,train,comparisons_930_b0_4741,comparisons_930_b0,comparisons_930_b1
comparisons,train,comparisons_196_b0_4742,comparisons_196_b0,comparisons_196_b1
comparisons,train,comparisons_890_b0_4743,comparisons_890_b0,comparisons_890_b1
comparisons,train,comparisons_360_b0_4744,comparisons_360_b0,comparisons_360_b1
comparisons,train,comparisons_902_b0_4745,comparisons_902_b0,comparisons_902_b1
comparisons,train,comparisons_420_b0_4746,comparisons_420_b0,comparisons_420_b1
comparisons,train,comparisons_1802_b0_4747,comparisons_1802_b0,comparisons_1802_b1
comparisons,train,comparisons_1644_b0_4748,comparisons_1644_b0,comparisons_1644_b1
comparisons,train,comparisons_292_b0_4749,comparisons_292_b0,comparisons_292_b1
comparisons,train,comparisons_769_b0_4750,comparisons_769_b0,comparisons_769_b1
comparisons,train,comparisons_1383_b0_4751,comparisons_1383_b0,comparisons_1383_b1
comparisons,train,comparisons_1334_b0_4752,comparisons_1334_b0,comparisons_1334_b1
comparisons,train,comparisons_1960_b0_4753,comparisons_1960_b0,comparisons_1960_b1
comparisons,train,comparisons_1973_b0_4754,comparisons_1973_b0,comparisons_1973_b1
comparisons,train,comparisons_878_b0_4755,comparisons_878_b0,comparisons_878_b1
comparisons,train,comparisons_1423_b0_4756,comparisons_1423_b0,comparisons_1423_b1
comparisons,train,comparisons_1361_b0_4757,comparisons_1361_b0,comparisons_1361_b1
comparisons,train,comparisons_1537_b0_4758,comparisons_1537_b0,comparisons_1537_b1
comparisons,train,comparisons_1333_b0_4759,comparisons_1333_b0,comparisons_1333_b1
comparisons,train,comparisons_1532_b0_4760,comparisons_1532_b0,comparisons_1532_b1
comparisons,train,comparisons_1506_b0_4761,comparisons_1506_b0,comparisons_1506_b1
comparisons,train,comparisons_1912_b0_4762,comparisons_1912_b0,comparisons_1912_b1
comparisons,train,comparisons_336_b0_4763,comparisons_336_b0,comparisons_336_b1
comparisons,train,comparisons_1761_b0_4764,comparisons_1761_b0,comparisons_1761_b1
comparisons,train,comparisons_1620_b0_4765,comparisons_1620_b0,comparisons_1620_b1
comparisons,train,comparisons_1271_b0_4766,comparisons_1271_b0,comparisons_1271_b1
comparisons,train,comparisons_1190_b0_4767,comparisons_1190_b0,comparisons_1190_b1
comparisons,train,comparisons_661_b0_4768,comparisons_661_b0,comparisons_661_b1
comparisons,train,comparisons_385_b0_4769,comparisons_385_b0,comparisons_385_b1
comparisons,train,comparisons_989_b0_4770,comparisons_989_b0,comparisons_989_b1
comparisons,train,comparisons_159_b0_4771,comparisons_159_b0,comparisons_159_b1
comparisons,train,comparisons_1927_b0_4772,comparisons_1927_b0,comparisons_1927_b1
comparisons,train,comparisons_251_b0_4773,comparisons_251_b0,comparisons_251_b1
comparisons,train,comparisons_1085_b0_4774,comparisons_1085_b0,comparisons_1085_b1
comparisons,train,comparisons_1635_b0_4775,comparisons_1635_b0,comparisons_1635_b1
comparisons,train,comparisons_1745_b0_4776,comparisons_1745_b0,comparisons_1745_b1
comparisons,train,comparisons_1849_b0_4777,comparisons_1849_b0,comparisons_1849_b1
comparisons,train,comparisons_474_b0_4778,comparisons_474_b0,comparisons_474_b1
comparisons,train,comparisons_1800_b0_4779,comparisons_1800_b0,comparisons_1800_b1
comparisons,train,comparisons_99_b0_4780,comparisons_99_b0,comparisons_99_b1
comparisons,train,comparisons_1780_b0_4781,comparisons_1780_b0,comparisons_1780_b1
comparisons,train,comparisons_305_b0_4782,comparisons_305_b0,comparisons_305_b1
comparisons,train,comparisons_1160_b0_4783,comparisons_1160_b0,comparisons_1160_b1
comparisons,train,comparisons_665_b0_4784,comparisons_665_b0,comparisons_665_b1
comparisons,train,comparisons_416_b0_4785,comparisons_416_b0,comparisons_416_b1
comparisons,train,comparisons_1262_b0_4786,comparisons_1262_b0,comparisons_1262_b1
comparisons,train,comparisons_1529_b0_4787,comparisons_1529_b0,comparisons_1529_b1
comparisons,train,comparisons_545_b0_4788,comparisons_545_b0,comparisons_545_b1
comparisons,train,comparisons_696_b0_4789,comparisons_696_b0,comparisons_696_b1
comparisons,train,comparisons_676_b0_4790,comparisons_676_b0,comparisons_676_b1
comparisons,train,comparisons_118_b0_4791,comparisons_118_b0,comparisons_118_b1
comparisons,train,comparisons_1820_b0_4792,comparisons_1820_b0,comparisons_1820_b1
comparisons,train,comparisons_28_b0_4793,comparisons_28_b0,comparisons_28_b1
comparisons,train,comparisons_1743_b0_4794,comparisons_1743_b0,comparisons_1743_b1
comparisons,train,comparisons_350_b0_4795,comparisons_350_b0,comparisons_350_b1
comparisons,train,comparisons_476_b0_4796,comparisons_476_b0,comparisons_476_b1
comparisons,train,comparisons_1136_b0_4797,comparisons_1136_b0,comparisons_1136_b1
comparisons,train,comparisons_1607_b0_4798,comparisons_1607_b0,comparisons_1607_b1
comparisons,train,comparisons_234_b0_4799,comparisons_234_b0,comparisons_234_b1
comparisons,train,comparisons_801_b0_4800,comparisons_801_b0,comparisons_801_b1
comparisons,train,comparisons_1025_b0_4801,comparisons_1025_b0,comparisons_1025_b1
comparisons,train,comparisons_1922_b0_4802,comparisons_1922_b0,comparisons_1922_b1
comparisons,train,comparisons_1171_b0_4803,comparisons_1171_b0,comparisons_1171_b1
comparisons,train,comparisons_1242_b0_4804,comparisons_1242_b0,comparisons_1242_b1
comparisons,train,comparisons_562_b0_4805,comparisons_562_b0,comparisons_562_b1
comparisons,train,comparisons_1088_b0_4806,comparisons_1088_b0,comparisons_1088_b1
comparisons,train,comparisons_652_b0_4807,comparisons_652_b0,comparisons_652_b1
comparisons,train,comparisons_1947_b0_4808,comparisons_1947_b0,comparisons_1947_b1
comparisons,train,comparisons_996_b0_4809,comparisons_996_b0,comparisons_996_b1
comparisons,train,comparisons_109_b0_4810,comparisons_109_b0,comparisons_109_b1
comparisons,train,comparisons_445_b0_4811,comparisons_445_b0,comparisons_445_b1
comparisons,train,comparisons_950_b0_4812,comparisons_950_b0,comparisons_950_b1
comparisons,train,comparisons_1828_b0_4813,comparisons_1828_b0,comparisons_1828_b1
comparisons,train,comparisons_354_b0_4814,comparisons_354_b0,comparisons_354_b1
comparisons,train,comparisons_1123_b0_4815,comparisons_1123_b0,comparisons_1123_b1
comparisons,train,comparisons_1740_b0_4816,comparisons_1740_b0,comparisons_1740_b1
comparisons,train,comparisons_979_b0_4817,comparisons_979_b0,comparisons_979_b1
comparisons,train,comparisons_1049_b0_4818,comparisons_1049_b0,comparisons_1049_b1
comparisons,train,comparisons_551_b0_4819,comparisons_551_b0,comparisons_551_b1
comparisons,train,comparisons_90_b0_4820,comparisons_90_b0,comparisons_90_b1
comparisons,train,comparisons_1144_b0_4821,comparisons_1144_b0,comparisons_1144_b1
comparisons,train,comparisons_637_b0_4822,comparisons_637_b0,comparisons_637_b1
comparisons,train,comparisons_1757_b0_4823,comparisons_1757_b0,comparisons_1757_b1
comparisons,train,comparisons_1184_b0_4824,comparisons_1184_b0,comparisons_1184_b1
comparisons,train,comparisons_610_b0_4825,comparisons_610_b0,comparisons_610_b1
comparisons,train,comparisons_397_b0_4826,comparisons_397_b0,comparisons_397_b1
comparisons,train,comparisons_1538_b0_4827,comparisons_1538_b0,comparisons_1538_b1
comparisons,train,comparisons_1642_b0_4828,comparisons_1642_b0,comparisons_1642_b1
comparisons,train,comparisons_1287_b0_4829,comparisons_1287_b0,comparisons_1287_b1
comparisons,train,comparisons_495_b0_4830,comparisons_495_b0,comparisons_495_b1
comparisons,train,comparisons_619_b0_4831,comparisons_619_b0,comparisons_619_b1
comparisons,train,comparisons_755_b0_4832,comparisons_755_b0,comparisons_755_b1
comparisons,train,comparisons_1326_b0_4833,comparisons_1326_b0,comparisons_1326_b1
comparisons,train,comparisons_1294_b0_4834,comparisons_1294_b0,comparisons_1294_b1
